,0,1
303,"('Non Veg Royal Platter', 'Chicken Seekh Kebab')",0
304,"('Non Veg Royal Platter', 'Plain nan')",0
305,"('Non Veg Royal Platter', 'Mutton Rogan Josh')",0
306,"('Non Veg Royal Platter', 'Tea')",0
307,"('Non Veg Royal Platter', 'Onion salad')",0
308,"('Non Veg Royal Platter', 'Fish Tikka')",0
309,"('Non Veg Royal Platter', 'Kaju chicken')",0
310,"('Non Veg Royal Platter', 'Veg pulav')",0
311,"('Non Veg Royal Platter', 'Chicken Pahadi Tikka')",0
312,"('Non Veg Royal Platter', 'Chilly Paneer')",0
313,"('Non Veg Royal Platter', 'Cold Coffee')",0
314,"('Non Veg Royal Platter', 'Mutton Seekh Kebab')",0
315,"('Non Veg Royal Platter', 'Chicken Kolhapuri')",0
316,"('Non Veg Royal Platter', 'Tandoori Garlic Chicken')",0
317,"('Non Veg Royal Platter', 'Hyderabadi Keema Biryani')",0
318,"('Non Veg Royal Platter', 'Butter Khichdhi')",0
319,"('Non Veg Royal Platter', 'Hyderabadi Chicken Tikka Biryani')",0
320,"('Non Veg Royal Platter', 'Paneer Punjabi')",0
321,"('Non Veg Royal Platter', 'cheese Chutney')",0
322,"('Non Veg Royal Platter', 'Chicken Lollypop (6 pc)')",0
323,"('Non Veg Royal Platter', 'Rayalaseema Kodi Kura')",0
324,"('Non Veg Royal Platter', 'Mutter Paneer')",0
325,"('Non Veg Royal Platter', 'Chicken Roast')",0
326,"('Non Veg Royal Platter', 'Chicken Fry')",0
327,"('Non Veg Royal Platter', 'Paneer Tikka')",0
328,"('Non Veg Royal Platter', 'Chicken Leg Afgani 2 pc')",0
329,"('Non Veg Royal Platter', 'Rumali Roti')",0
330,"('Non Veg Royal Platter', 'Tandoori Chicken Kali Mirch')",0
331,"('Non Veg Royal Platter', 'Chicken Leg Malai 2pc')",0
332,"('Non Veg Royal Platter', 'Veg Roll')",0
333,"('Non Veg Royal Platter', 'Benjo')",0
334,"('Non Veg Royal Platter', 'Butter Milk')",0
335,"('Non Veg Royal Platter', 'Cold Coffee With Ice Cream')",0
336,"('Non Veg Royal Platter', 'Egg Roll')",0
337,"('Non Veg Royal Platter', 'Cheese maggi')",0
338,"('Non Veg Royal Platter', 'Mix Veg')",0
339,"('Non Veg Royal Platter', 'Bread Omlette')",0
340,"('Non Veg Royal Platter', 'Hakka Noodles')",0
341,"('Non Veg Royal Platter', 'Chicken Pudina Tikka')",0
342,"('Non Veg Royal Platter', 'Bhuna Chicken')",0
343,"('Non Veg Royal Platter', 'Bread Butter Toast')",0
344,"('Non Veg Royal Platter', 'Butter Cheese maggi')",0
345,"('Non Veg Royal Platter', 'plain maggi')",0
346,"('Non Veg Royal Platter', 'Choclate Shake')",0
347,"('Non Veg Royal Platter', 'Vegetable Mayo cheese')",0
348,"('Non Veg Royal Platter', 'Chilly Chicken')",0
349,"('Non Veg Royal Platter', 'Tandoori Malai Chicken')",0
350,"('Non Veg Royal Platter', 'Aloo Muttor')",0
351,"('Non Veg Royal Platter', 'Fish Finger')",0
352,"('Non Veg Royal Platter', 'Mix Paratha')",0
353,"('Non Veg Royal Platter', 'Kaju curry')",0
354,"('Non Veg Royal Platter', 'Masala')",0
355,"('Non Veg Royal Platter', 'Vegetable')",0
356,"('Non Veg Royal Platter', 'Paneer Handi')",0
357,"('Non Veg Royal Platter', 'Bhindi masala')",0
358,"('Non Veg Royal Platter', 'Muttor Pulav')",0
359,"('Non Veg Royal Platter', 'Vegetable Maggi')",0
360,"('Non Veg Royal Platter', 'Lassi')",0
361,"('Non Veg Royal Platter', 'Boiled Egg')",0
362,"('Non Veg Royal Platter', 'Vegetable Chesse Maggi')",0
363,"('Non Veg Royal Platter', 'Chicken Hot n Sour')",0
364,"('Non Veg Royal Platter', 'Chicken Soup')",0
365,"('Non Veg Royal Platter', 'Veg Raita')",0
366,"('Non Veg Royal Platter', 'Chicken Monchow')",0
367,"('Non Veg Royal Platter', 'Boiled Fry')",0
368,"('Non Veg Royal Platter', 'Punjabi Salad')",0
369,"('Non Veg Royal Platter', 'Tandoori Chicken Pahadi')",0
370,"('Non Veg Royal Platter', 'Fish Tikka Masala')",0
371,"('Non Veg Royal Platter', 'chicken masala full')",0
372,"('Non Veg Royal Platter', 'Hyderabadi Chicken Dum Biryani')",0
373,"('Non Veg Royal Platter', 'Veg Roll & Biryani Combo')",0
374,"('Non Veg Royal Platter', 'Vegetable cheese')",0
375,"('Non Veg Royal Platter', 'Veg Platter')",0
376,"('Non Veg Royal Platter', 'Chicken Reshmi Kebab')",0
377,"('Non Veg Royal Platter', 'Vegetable Cheese Half')",0
378,"('Non Veg Royal Platter', 'Curd')",0
379,"('Non Veg Royal Platter', 'Chicken Clear Soup')",0
380,"('Non Veg Royal Platter', 'Palak Corn')",0
381,"('Non Veg Royal Platter', 'Bread butter cheese')",0
382,"('Non Veg Royal Platter', 'Green Tea')",0
383,"('Non Veg Royal Platter', 'egg masala')",0
384,"('Non Veg Royal Platter', 'Palak Paneer')",0
385,"('Non Veg Royal Platter', 'Masala Cheese Half')",0
386,"('Non Veg Royal Platter', 'Egg Boiled Fry')",0
387,"('Non Veg Royal Platter', 'muttor paneer')",0
388,"('Non Veg Royal Platter', 'Veg Monchow')",0
389,"('Non Veg Royal Platter', 'Veg Soup')",0
390,"('Non Veg Royal Platter', 'Singapuri Noodles')",0
391,"('Non Veg Royal Platter', 'Veg Jalfrezi')",0
392,"('Non Veg Royal Platter', 'Veg Lemon Coriander')",0
393,"('Non Veg Royal Platter', 'Shimla cheese Paneer Half')",0
394,"('Non Veg Royal Platter', 'Bati')",0
395,"('Non Veg Royal Platter', 'Masala Mayo Cheese Half')",0
396,"('Non Veg Royal Platter', 'Mushroom Burger')",0
397,"('Non Veg Royal Platter', 'Paneer Bhurji')",0
